Date,Description,Type,Amount,Current balance,Status
2025-04-01,GREENTECH SOLUTIONS DIRECT_DEPOSIT,DIRECT_DEPOSIT,3172.73,10000.00,Posted
2025-04-01,PACIFIC NORTHWEST CONSULTING DIRECT_DEPOSIT,DIRECT_DEPOSIT,1689.95,10000.00,Posted
2025-04-01,CHASE CREDIT CRD AUTOPAY,DIRECT_PAY,-1494.03,10000.00,Posted
2025-04-04,VENMO PAYMENT,DIRECT_PAY,-78.21,10000.00,Posted
2025-04-05,JPMORGAN CHASE,DIRECT_PAY,-2638.60,10000.00,Posted
2025-04-09,VENMO PAYMENT,DIRECT_PAY,-203.20,10000.00,Posted
2025-04-09,Zelle Payment to Alex,ZELLE,-59.27,10000.00,Posted
2025-04-10,JPMORGAN CHASE,DIRECT_PAY,-253.66,10000.00,Posted
2025-04-13,CAPITAL ONE MOBILE PMT,DIRECT_PAY,-1195.44,10000.00,Posted
2025-04-13,VENMO PAYMENT,DIRECT_PAY,-283.59,10000.00,Posted
2025-04-15,GREENTECH SOLUTIONS DIRECT_DEPOSIT,DIRECT_DEPOSIT,2600.19,10000.00,Posted
2025-04-15,PACIFIC NORTHWEST CONSULTING DIRECT_DEPOSIT,DIRECT_DEPOSIT,1476.18,10000.00,Posted
2025-04-15,IRS TREAS 310 TAX REF,CHECK_DEPOSIT,1266.23,10000.00,Posted
2025-04-28,Zelle Payment to Alex,ZELLE,-291.06,10000.00,Posted
