Transaction Date,Post Date,Description,Category,Type,Amount,Memo
04/02/2025,04/05/2025,WHOLEFDS MKT #10567,Groceries,Sale,-82.88,
04/02/2025,04/05/2025,TARGET 00001234,Shopping,Sale,-55.53,
04/06/2025,04/08/2025,CHIPOTLE 2345,Food & Drink,Sale,-47.38,
04/06/2025,04/08/2025,PELOTON MEMBERSHIP,Health & Wellness,Sale,-36.35,
04/07/2025,04/10/2025,DROPBOX*PLAN,Bills & Utilities,Sale,-7.23,
04/09/2025,04/11/2025,DOMINOS PIZZA 6789,Food & Drink,Sale,-23.77,
04/10/2025,04/11/2025,TRADER JOES #123,Groceries,Sale,-93.19,
04/13/2025,04/14/2025,HULU *LIVE TV,Bills & Utilities,Sale,-9.46,
04/14/2025,04/15/2025,DOMINOS PIZZA 6789,Food & Drink,Sale,-25.43,
04/16/2025,04/17/2025,THAI BAMBOO REST,Food & Drink,Sale,-43.90,
04/17/2025,04/18/2025,IC* INSTACART GROCERIES,Groceries,Sale,-40.09,
04/18/2025,04/19/2025,STARBUCKS #12345,Food & Drink,Sale,-44.91,
04/18/2025,04/19/2025,ALDI STORE 09876,Groceries,Sale,-57.34,
04/17/2025,04/19/2025,SEATTLE AQUARIUM,Entertainment,Sale,-45.40,
04/19/2025,04/20/2025,AMC THEATRES #1234,Entertainment,Sale,-29.97,
04/20/2025,04/21/2025,IKEA SEATTLE,Shopping,Sale,-53.82,
04/19/2025,04/22/2025,GOODWILL RETAIL #89,Shopping,Sale,-112.75,
04/24/2025,04/27/2025,MOD PIZZA SEATTLE,Food & Drink,Sale,-12.50,
04/28/2025,04/28/2025,STARBUCKS #12345,Food & Drink,Sale,-8.12,
04/28/2025,04/28/2025,COSTCO WHSE #0045,Groceries,Sale,-22.68,
04/28/2025,04/29/2025,MOD PIZZA SEATTLE,Food & Drink,Sale,-39.94,
04/28/2025,04/29/2025,MCDONALDS F12345,Food & Drink,Sale,-23.07,
04/29/2025,04/29/2025,IKEA SEATTLE,Shopping,Sale,-73.26,
04/26/2025,04/29/2025,UBER *TRIP,Travel,Sale,-63.29,
04/30/2025,04/30/2025,NETFLIX.COM,Bills & Utilities,Sale,-9.47,
04/29/2025,04/30/2025,SEATTLE AQUARIUM,Entertainment,Sale,-23.41,
