Transaction Date,Posted Date,Card No.,Description,Category,Debit,Credit
2025-04-01,2025-04-02,1234,APPLE.COM/BILL,Phone/Cable,14.23,
2025-04-02,2025-04-04,1234,PHO BAC SUP SHOP,Dining,43.76,
2025-04-08,2025-04-09,1234,AIRBNB * HM1ABC2DE,Travel,430.19,
2025-04-08,2025-04-11,1234,TARGET 00001234,Merchandise,48.26,
2025-04-18,2025-04-19,1234,STARBUCKS #12345,Dining,9.16,
2025-04-18,2025-04-20,1234,REI #45 SEATTLE,Merchandise,111.76,
2025-04-26,2025-04-27,1234,GOODWILL RETAIL #89,Merchandise,32.32,
2025-04-26,2025-04-28,1234,APPLE.COM/BILL,Phone/Cable,13.61,
2025-04-29,2025-04-29,1234,MCDONALDS F12345,Dining,28.91,
2025-04-27,2025-04-29,1234,MCDONALDS F12345,Dining,24.05,
