Date,Description,Type,Amount,Current balance,Status
2025-08-01,GREENTECH SOLUTIONS DIRECT_DEPOSIT,DIRECT_DEPOSIT,2936.60,10000.00,Posted
2025-08-01,PACIFIC NORTHWEST CONSULTING DIRECT_DEPOSIT,DIRECT_DEPOSIT,1293.35,10000.00,Posted
2025-08-04,VENMO PAYMENT,DIRECT_PAY,-213.12,10000.00,Posted
2025-08-05,JPMORGAN CHASE,DIRECT_PAY,-2414.93,10000.00,Posted
2025-08-10,JPMORGAN CHASE,DIRECT_PAY,-244.89,10000.00,Posted
2025-08-10,Zelle Payment to Alex,ZELLE,-89.54,10000.00,Posted
2025-08-14,VENMO PAYMENT,DIRECT_PAY,-88.20,10000.00,Posted
2025-08-15,GREENTECH SOLUTIONS DIRECT_DEPOSIT,DIRECT_DEPOSIT,3195.01,10000.00,Posted
2025-08-15,PACIFIC NORTHWEST CONSULTING DIRECT_DEPOSIT,DIRECT_DEPOSIT,1652.66,10000.00,Posted
2025-08-15,CHASE CREDIT CRD AUTOPAY,DIRECT_PAY,-1495.74,10000.00,Posted
2025-08-16,CAPITAL ONE MOBILE PMT,DIRECT_PAY,-1446.37,10000.00,Posted
2025-08-17,Zelle Payment to Alex,ZELLE,-123.20,10000.00,Posted
2025-08-19,DIRECT_PAY UTILITIES,DIRECT_PAY,-172.27,10000.00,Posted
