Transaction Date,Post Date,Description,Category,Type,Amount,Memo
08/02/2025,08/05/2025,PHO BAC SUP SHOP,Food & Drink,Sale,-15.13,
08/02/2025,08/05/2025,ROSS STORES #567,Shopping,Sale,-59.84,
08/03/2025,08/05/2025,APPLE.COM/BILL,Bills & Utilities,Sale,-5.47,
08/05/2025,08/06/2025,QFC #5678,Groceries,Sale,-48.84,
08/05/2025,08/06/2025,SAFEWAY STORE 1234,Groceries,Sale,-121.65,
08/06/2025,08/07/2025,ALDI STORE 09876,Groceries,Sale,-131.97,
08/07/2025,08/08/2025,PANERA BREAD #4567,Food & Drink,Sale,-30.63,
08/07/2025,08/09/2025,PELOTON MEMBERSHIP,Health & Wellness,Sale,-44.64,
08/09/2025,08/10/2025,STARBUCKS #12345,Food & Drink,Sale,-45.86,
08/09/2025,08/10/2025,COSTCO WHSE #0045,Groceries,Sale,-115.13,
08/08/2025,08/11/2025,SAFEWAY STORE 1234,Groceries,Sale,-17.13,
08/11/2025,08/12/2025,MCDONALDS F12345,Food & Drink,Sale,-39.05,
08/09/2025,08/12/2025,OPENAI *CHATGPT PLUS,Bills & Utilities,Sale,-12.06,
08/15/2025,08/16/2025,PHO BAC SUP SHOP,Food & Drink,Sale,-10.17,
08/13/2025,08/16/2025,WOODLAND PARK ZOO,Entertainment,Sale,-20.50,
08/14/2025,08/16/2025,HERTZ RENT-A-CAR,Travel,Sale,-227.47,
08/15/2025,08/17/2025,QFC #5678,Groceries,Sale,-95.14,
08/17/2025,08/18/2025,ALDI STORE 09876,Groceries,Sale,-23.58,
08/15/2025,08/18/2025,IKEA SEATTLE,Shopping,Sale,-113.94,
08/16/2025,08/19/2025,CLAUDE.AI SUBSCRIPTION,Bills & Utilities,Sale,-5.55,
08/17/2025,08/20/2025,MUSEUM OF POP CULTURE,Entertainment,Sale,-12.87,
08/22/2025,08/24/2025,PHO BAC SUP SHOP,Food & Drink,Sale,-8.54,
08/21/2025,08/24/2025,CHIPOTLE 2345,Food & Drink,Sale,-8.12,
08/23/2025,08/24/2025,WOODLAND PARK ZOO,Entertainment,Sale,-37.11,
08/24/2025,08/25/2025,MARRIOTT HOTEL SEA,Travel,Sale,-239.24,
08/27/2025,08/28/2025,PHO BAC SUP SHOP,Food & Drink,Sale,-38.52,
08/27/2025,08/29/2025,STARBUCKS #12345,Food & Drink,Sale,-33.84,
08/26/2025,08/29/2025,CHIPOTLE 2345,Food & Drink,Sale,-17.65,
08/28/2025,08/30/2025,LINKEDIN PREMIUM,Bills & Utilities,Sale,-11.80,
08/31/2025,08/31/2025,AMAZON.COM*1A2B3C,Shopping,Sale,-119.84,
