Transaction Date,Posted Date,Card No.,Description,Category,Debit,Credit
2025-08-04,2025-08-07,1234,PANERA BREAD #4567,Dining,12.50,
2025-08-09,2025-08-12,1234,MARRIOTT HOTEL SEA,Travel,447.05,
2025-08-12,2025-08-13,1234,AIRBNB * HM1ABC2DE,Travel,425.34,
2025-08-16,2025-08-17,1234,STARBUCKS #12345,Dining,20.70,
2025-08-18,2025-08-20,1234,STARBUCKS #12345,Dining,38.03,
2025-08-19,2025-08-20,1234,H&M US ONLINE,Merchandise,102.81,
2025-08-19,2025-08-22,1234,SPOTIFY USA,Phone/Cable,5.51,
2025-08-22,2025-08-25,1234,MARRIOTT HOTEL SEA,Travel,72.16,
2025-08-24,2025-08-27,1234,NETFLIX.COM,Phone/Cable,5.74,
2025-08-25,2025-08-28,1234,AMAZON.COM*1A2B3C,Merchandise,76.60,
