Date,Description,Type,Amount,Current balance,Status
2025-12-01,GREENTECH SOLUTIONS DIRECT_DEPOSIT,DIRECT_DEPOSIT,2781.33,10000.00,Posted
2025-12-01,PACIFIC NORTHWEST CONSULTING DIRECT_DEPOSIT,DIRECT_DEPOSIT,1524.70,10000.00,Posted
2025-12-05,JPMORGAN CHASE,DIRECT_PAY,-2695.84,10000.00,Posted
2025-12-10,JPMORGAN CHASE,DIRECT_PAY,-268.32,10000.00,Posted
2025-12-10,CHASE CREDIT CRD AUTOPAY,DIRECT_PAY,-1267.98,10000.00,Posted
2025-12-12,Zelle Payment to Alex,ZELLE,-78.19,10000.00,Posted
2025-12-15,GREENTECH SOLUTIONS DIRECT_DEPOSIT,DIRECT_DEPOSIT,3030.35,10000.00,Posted
2025-12-15,PACIFIC NORTHWEST CONSULTING DIRECT_DEPOSIT,DIRECT_DEPOSIT,1236.15,10000.00,Posted
2025-12-20,INTEREST PAYMENT,INTEREST_EARNED,44.83,10000.00,Posted
2025-12-21,DIRECT_PAY UTILITIES,DIRECT_PAY,-131.10,10000.00,Posted
2025-12-22,Zelle Payment to Sam,ZELLE,-206.45,10000.00,Posted
2025-12-25,CAPITAL ONE MOBILE PMT,DIRECT_PAY,-1021.89,10000.00,Posted
2025-12-29,DIRECT_PAY UTILITIES,DIRECT_PAY,-151.11,10000.00,Posted
2025-12-30,DIRECT_PAY UTILITIES,DIRECT_PAY,-131.42,10000.00,Posted
