Transaction Date,Post Date,Description,Category,Type,Amount,Memo
12/02/2025,12/03/2025,THAI BAMBOO REST,Food & Drink,Sale,-19.87,
12/02/2025,12/03/2025,ALDI STORE 09876,Groceries,Sale,-92.51,
12/02/2025,12/03/2025,H&M US ONLINE,Shopping,Sale,-106.93,
12/01/2025,12/03/2025,TARGET 00001234,Shopping,Sale,-112.06,
12/01/2025,12/04/2025,WA PARKS RESERVATIONS,Entertainment,Sale,-39.84,
12/04/2025,12/05/2025,AIRBNB * HM1ABC2DE,Travel,Sale,-260.53,
12/06/2025,12/07/2025,H&M US ONLINE,Shopping,Sale,-96.46,
12/07/2025,12/08/2025,DOMINOS PIZZA 6789,Food & Drink,Sale,-45.19,
12/05/2025,12/08/2025,CLAUDE.AI SUBSCRIPTION,Bills & Utilities,Sale,-7.58,
12/06/2025,12/09/2025,ROSS STORES #567,Shopping,Sale,-106.32,
12/11/2025,12/13/2025,PHO BAC SUP SHOP,Food & Drink,Sale,-29.54,
12/10/2025,12/13/2025,STARBUCKS #12345,Food & Drink,Sale,-20.55,
12/11/2025,12/13/2025,SKECHERS USA 456,Shopping,Sale,-118.79,
12/13/2025,12/15/2025,MCDONALDS F12345,Food & Drink,Sale,-18.20,
12/16/2025,12/17/2025,MCDONALDS F12345,Food & Drink,Sale,-6.22,
12/15/2025,12/18/2025,DOMINOS PIZZA 6789,Food & Drink,Sale,-37.39,
12/15/2025,12/18/2025,HULU *LIVE TV,Bills & Utilities,Sale,-12.13,
12/18/2025,12/19/2025,WHOLEFDS MKT #10567,Groceries,Sale,-103.14,
12/17/2025,12/19/2025,UNITED AIRLINES 0161234,Travel,Sale,-228.35,
12/18/2025,12/21/2025,ALDI STORE 09876,Groceries,Sale,-129.79,
12/18/2025,12/21/2025,CLAUDE.AI SUBSCRIPTION,Bills & Utilities,Sale,-13.87,
12/19/2025,12/22/2025,THAI BAMBOO REST,Food & Drink,Sale,-43.62,
12/19/2025,12/22/2025,SEATTLE AQUARIUM,Entertainment,Sale,-15.84,
12/23/2025,12/25/2025,MCDONALDS F12345,Food & Drink,Sale,-10.59,
12/22/2025,12/25/2025,PANERA BREAD #4567,Food & Drink,Sale,-32.79,
12/24/2025,12/27/2025,PANERA BREAD #4567,Food & Drink,Sale,-16.18,
12/25/2025,12/27/2025,SAFEWAY STORE 1234,Groceries,Sale,-53.53,
12/26/2025,12/27/2025,DROPBOX*PLAN,Bills & Utilities,Sale,-6.46,
12/30/2025,12/30/2025,DOMINOS PIZZA 6789,Food & Drink,Sale,-18.09,
12/29/2025,12/31/2025,WHOLEFDS MKT #10567,Groceries,Sale,-102.82,
12/28/2025,12/31/2025,MUSEUM OF POP CULTURE,Entertainment,Sale,-41.25,
12/30/2025,12/31/2025,UNITED AIRLINES 0161234,Travel,Sale,-169.53,
