Transaction Date,Posted Date,Card No.,Description,Category,Debit,Credit
2025-12-02,2025-12-04,1234,AIRBNB * HM1ABC2DE,Travel,275.56,
2025-12-05,2025-12-06,1234,GOODWILL RETAIL #89,Merchandise,103.85,
2025-12-15,2025-12-16,1234,AIRBNB * HM1ABC2DE,Travel,361.11,
2025-12-16,2025-12-17,1234,MOD PIZZA SEATTLE,Dining,37.40,
2025-12-16,2025-12-17,1234,UBER *TRIP,Travel,247.10,
2025-12-15,2025-12-18,1234,NETFLIX.COM,Phone/Cable,10.50,
2025-12-17,2025-12-20,1234,PHO BAC SUP SHOP,Dining,9.28,
2025-12-19,2025-12-20,1234,CHIPOTLE 2345,Dining,40.81,
2025-12-20,2025-12-21,1234,PANERA BREAD #4567,Dining,46.21,
2025-12-20,2025-12-22,1234,THAI BAMBOO REST,Dining,35.48,
2025-12-22,2025-12-24,1234,APPLE.COM/BILL,Phone/Cable,5.02,
2025-12-22,2025-12-25,1234,STARBUCKS #12345,Dining,28.07,
2025-12-29,2025-12-29,1234,PANERA BREAD #4567,Dining,30.05,
2025-12-30,2025-12-30,1234,PANERA BREAD #4567,Dining,38.00,
