Date,Description,Type,Amount,Current balance,Status
2026-02-01,GREENTECH SOLUTIONS DIRECT_DEPOSIT,DIRECT_DEPOSIT,2864.39,10000.00,Posted
2026-02-01,PACIFIC NORTHWEST CONSULTING DIRECT_DEPOSIT,DIRECT_DEPOSIT,1398.59,10000.00,Posted
2026-02-05,JPMORGAN CHASE,DIRECT_PAY,-2538.62,10000.00,Posted
2026-02-07,DIRECT_PAY UTILITIES,DIRECT_PAY,-189.89,10000.00,Posted
2026-02-07,VENMO PAYMENT,DIRECT_PAY,-233.13,10000.00,Posted
2026-02-10,JPMORGAN CHASE,DIRECT_PAY,-287.87,10000.00,Posted
2026-02-13,Zelle Payment to Alex,ZELLE,-229.09,10000.00,Posted
2026-02-13,Zelle Payment to Alex,ZELLE,-220.28,10000.00,Posted
2026-02-15,GREENTECH SOLUTIONS DIRECT_DEPOSIT,DIRECT_DEPOSIT,2896.72,10000.00,Posted
2026-02-15,PACIFIC NORTHWEST CONSULTING DIRECT_DEPOSIT,DIRECT_DEPOSIT,1455.82,10000.00,Posted
2026-02-21,CHASE CREDIT CRD AUTOPAY,DIRECT_PAY,-1066.01,10000.00,Posted
2026-02-21,CAPITAL ONE MOBILE PMT,DIRECT_PAY,-1491.58,10000.00,Posted
2026-02-26,Zelle Payment to Alex,ZELLE,-185.88,10000.00,Posted
