Transaction Date,Post Date,Description,Category,Type,Amount,Memo
02/02/2026,02/03/2026,THAI BAMBOO REST,Food & Drink,Sale,-15.75,
02/01/2026,02/03/2026,GOODWILL RETAIL #89,Shopping,Sale,-102.42,
02/03/2026,02/04/2026,WHOLEFDS MKT #10567,Groceries,Sale,-52.25,
02/03/2026,02/05/2026,THAI BAMBOO REST,Food & Drink,Sale,-46.69,
02/04/2026,02/05/2026,STARBUCKS #12345,Food & Drink,Sale,-13.87,
02/03/2026,02/05/2026,STARBUCKS #12345,Food & Drink,Sale,-31.07,
02/05/2026,02/07/2026,MCDONALDS F12345,Food & Drink,Sale,-37.07,
02/06/2026,02/08/2026,DROPBOX*PLAN,Bills & Utilities,Sale,-7.77,
02/06/2026,02/09/2026,WHOLEFDS MKT #10567,Groceries,Sale,-37.88,
02/07/2026,02/09/2026,TARGET 00001234,Shopping,Sale,-24.04,
02/06/2026,02/09/2026,WOODLAND PARK ZOO,Entertainment,Sale,-10.05,
02/09/2026,02/10/2026,SKECHERS USA 456,Shopping,Sale,-74.91,
02/10/2026,02/11/2026,STARBUCKS #12345,Food & Drink,Sale,-9.45,
02/09/2026,02/11/2026,SAFEWAY STORE 1234,Groceries,Sale,-81.57,
02/11/2026,02/12/2026,DOMINOS PIZZA 6789,Food & Drink,Sale,-38.91,
02/10/2026,02/12/2026,PHO BAC SUP SHOP,Food & Drink,Sale,-37.98,
02/10/2026,02/12/2026,WHOLEFDS MKT #10567,Groceries,Sale,-120.19,
02/10/2026,02/12/2026,IC* INSTACART GROCERIES,Groceries,Sale,-25.38,
02/11/2026,02/13/2026,STARBUCKS #12345,Food & Drink,Sale,-9.84,
02/10/2026,02/13/2026,UNITED AIRLINES 0161234,Travel,Sale,-403.97,
02/13/2026,02/15/2026,MCDONALDS F12345,Food & Drink,Sale,-34.55,
02/13/2026,02/15/2026,SKECHERS USA 456,Shopping,Sale,-46.16,
02/15/2026,02/17/2026,PANERA BREAD #4567,Food & Drink,Sale,-20.94,
02/15/2026,02/18/2026,THAI BAMBOO REST,Food & Drink,Sale,-10.34,
02/19/2026,02/20/2026,WOODLAND PARK ZOO,Entertainment,Sale,-47.89,
02/20/2026,02/23/2026,DISNEY PLUS,Bills & Utilities,Sale,-9.69,
02/22/2026,02/24/2026,STARBUCKS #12345,Food & Drink,Sale,-38.43,
02/23/2026,02/26/2026,CLAUDE.AI SUBSCRIPTION,Bills & Utilities,Sale,-14.67,
02/24/2026,02/26/2026,AIRBNB * HM1ABC2DE,Travel,Sale,-244.15,
02/24/2026,02/27/2026,COSTCO WHSE #0045,Groceries,Sale,-92.21,
02/27/2026,02/27/2026,APPLE.COM/BILL,Bills & Utilities,Sale,-7.86,
02/26/2026,02/27/2026,DROPBOX*PLAN,Bills & Utilities,Sale,-8.64,
02/27/2026,02/27/2026,WA PARKS RESERVATIONS,Entertainment,Sale,-13.44,
02/26/2026,02/28/2026,IC* INSTACART GROCERIES,Groceries,Sale,-67.01,
