Date,Description,Type,Amount,Current balance,Status
2026-01-01,GREENTECH SOLUTIONS DIRECT_DEPOSIT,DIRECT_DEPOSIT,3083.63,10000.00,Posted
2026-01-01,PACIFIC NORTHWEST CONSULTING DIRECT_DEPOSIT,DIRECT_DEPOSIT,1427.56,10000.00,Posted
2026-01-05,JPMORGAN CHASE,DIRECT_PAY,-2416.83,10000.00,Posted
2026-01-06,CHASE CREDIT CRD AUTOPAY,DIRECT_PAY,-974.42,10000.00,Posted
2026-01-10,JPMORGAN CHASE,DIRECT_PAY,-240.57,10000.00,Posted
2026-01-15,GREENTECH SOLUTIONS DIRECT_DEPOSIT,DIRECT_DEPOSIT,2484.15,10000.00,Posted
2026-01-15,PACIFIC NORTHWEST CONSULTING DIRECT_DEPOSIT,DIRECT_DEPOSIT,1531.62,10000.00,Posted
2026-01-26,VENMO PAYMENT,DIRECT_PAY,-182.78,10000.00,Posted
2026-01-28,CAPITAL ONE MOBILE PMT,DIRECT_PAY,-1290.52,10000.00,Posted
2026-01-28,Zelle Payment to Alex,ZELLE,-271.59,10000.00,Posted
2026-01-29,DIRECT_PAY UTILITIES,DIRECT_PAY,-103.20,10000.00,Posted
2026-01-30,Zelle Payment to Alex,ZELLE,-92.04,10000.00,Posted
2026-01-30,Zelle Payment to Alex,ZELLE,-214.80,10000.00,Posted
