Transaction Date,Post Date,Description,Category,Type,Amount,Memo
01/01/2026,01/02/2026,IKEA SEATTLE,Shopping,Sale,-115.79,
01/03/2026,01/04/2026,IC* INSTACART GROCERIES,Groceries,Sale,-117.83,
01/05/2026,01/07/2026,COSTCO WHSE #0045,Groceries,Sale,-49.42,
01/04/2026,01/07/2026,SKECHERS USA 456,Shopping,Sale,-110.50,
01/07/2026,01/09/2026,ROSS STORES #567,Shopping,Sale,-115.23,
01/09/2026,01/10/2026,MCDONALDS F12345,Food & Drink,Sale,-32.29,
01/10/2026,01/11/2026,PHO BAC SUP SHOP,Food & Drink,Sale,-30.25,
01/08/2026,01/11/2026,DROPBOX*PLAN,Bills & Utilities,Sale,-12.71,
01/10/2026,01/12/2026,MCDONALDS F12345,Food & Drink,Sale,-37.69,
01/10/2026,01/12/2026,WA PARKS RESERVATIONS,Entertainment,Sale,-29.00,
01/11/2026,01/14/2026,THAI BAMBOO REST,Food & Drink,Sale,-23.15,
01/11/2026,01/14/2026,TRADER JOES #123,Groceries,Sale,-139.50,
01/13/2026,01/15/2026,PANERA BREAD #4567,Food & Drink,Sale,-28.67,
01/12/2026,01/15/2026,THAI BAMBOO REST,Food & Drink,Sale,-39.00,
01/13/2026,01/15/2026,OPENAI *CHATGPT PLUS,Bills & Utilities,Sale,-11.42,
01/14/2026,01/17/2026,MOD PIZZA SEATTLE,Food & Drink,Sale,-7.97,
01/16/2026,01/17/2026,PANERA BREAD #4567,Food & Drink,Sale,-18.63,
01/18/2026,01/20/2026,WHOLEFDS MKT #10567,Groceries,Sale,-90.23,
01/20/2026,01/21/2026,MOD PIZZA SEATTLE,Food & Drink,Sale,-31.11,
01/23/2026,01/24/2026,PANERA BREAD #4567,Food & Drink,Sale,-37.10,
01/23/2026,01/24/2026,MOD PIZZA SEATTLE,Food & Drink,Sale,-44.42,
01/22/2026,01/25/2026,QFC #5678,Groceries,Sale,-20.34,
01/25/2026,01/26/2026,MCDONALDS F12345,Food & Drink,Sale,-27.16,
01/23/2026,01/26/2026,DISNEY PLUS,Bills & Utilities,Sale,-8.85,
01/24/2026,01/27/2026,QFC #5678,Groceries,Sale,-44.30,
01/25/2026,01/28/2026,PHO BAC SUP SHOP,Food & Drink,Sale,-15.95,
01/27/2026,01/28/2026,TRADER JOES #123,Groceries,Sale,-51.24,
01/29/2026,01/30/2026,PANERA BREAD #4567,Food & Drink,Sale,-23.37,
01/28/2026,01/30/2026,TRADER JOES #123,Groceries,Sale,-87.31,
