Transaction Date,Posted Date,Card No.,Description,Category,Debit,Credit
2026-01-01,2026-01-02,1234,H&M US ONLINE,Merchandise,10.32,
2026-01-05,2026-01-06,1234,PANERA BREAD #4567,Dining,27.24,
2026-01-04,2026-01-07,1234,NETFLIX.COM,Phone/Cable,7.26,
2026-01-06,2026-01-09,1234,PHO BAC SUP SHOP,Dining,13.11,
2026-01-10,2026-01-11,1234,UBER *TRIP,Travel,401.53,
2026-01-12,2026-01-13,1234,SKECHERS USA 456,Merchandise,82.18,
2026-01-14,2026-01-15,1234,PANERA BREAD #4567,Dining,8.85,
2026-01-17,2026-01-20,1234,ROSS STORES #567,Merchandise,68.47,
2026-01-22,2026-01-24,1234,NETFLIX.COM,Phone/Cable,5.89,
2026-01-24,2026-01-27,1234,MOD PIZZA SEATTLE,Dining,13.73,
2026-01-27,2026-01-28,1234,CHIPOTLE 2345,Dining,38.10,
2026-01-29,2026-01-29,1234,CHIPOTLE 2345,Dining,28.01,
