Date,Description,Type,Amount,Current balance,Status
2025-07-01,GREENTECH SOLUTIONS DIRECT_DEPOSIT,DIRECT_DEPOSIT,3174.13,10000.00,Posted
2025-07-01,PACIFIC NORTHWEST CONSULTING DIRECT_DEPOSIT,DIRECT_DEPOSIT,1787.97,10000.00,Posted
2025-07-04,CHASE CREDIT CRD AUTOPAY,DIRECT_PAY,-1309.31,10000.00,Posted
2025-07-05,JPMORGAN CHASE,DIRECT_PAY,-2518.37,10000.00,Posted
2025-07-08,DIRECT_PAY UTILITIES,DIRECT_PAY,-36.76,10000.00,Posted
2025-07-08,Zelle Payment to Alex,ZELLE,-201.56,10000.00,Posted
2025-07-09,DIRECT_PAY UTILITIES,DIRECT_PAY,-252.05,10000.00,Posted
2025-07-10,JPMORGAN CHASE,DIRECT_PAY,-255.87,10000.00,Posted
2025-07-15,GREENTECH SOLUTIONS DIRECT_DEPOSIT,DIRECT_DEPOSIT,3051.80,10000.00,Posted
2025-07-15,PACIFIC NORTHWEST CONSULTING DIRECT_DEPOSIT,DIRECT_DEPOSIT,1780.36,10000.00,Posted
2025-07-22,CAPITAL ONE MOBILE PMT,DIRECT_PAY,-1574.11,10000.00,Posted
2025-07-26,CHECK_DEPOSIT CONSULTING,CHECK_DEPOSIT,354.18,10000.00,Posted
2025-07-29,VENMO PAYMENT,DIRECT_PAY,-277.12,10000.00,Posted
2025-07-31,VENMO PAYMENT,DIRECT_PAY,-59.25,10000.00,Posted
