Transaction Date,Post Date,Description,Category,Type,Amount,Memo
07/02/2025,07/03/2025,QFC #5678,Groceries,Sale,-145.32,
07/02/2025,07/05/2025,SPOTIFY USA,Bills & Utilities,Sale,-7.19,
07/05/2025,07/06/2025,WHOLEFDS MKT #10567,Groceries,Sale,-120.51,
07/03/2025,07/06/2025,HERTZ RENT-A-CAR,Travel,Sale,-320.28,
07/05/2025,07/07/2025,PANERA BREAD #4567,Food & Drink,Sale,-44.72,
07/04/2025,07/07/2025,WHOLEFDS MKT #10567,Groceries,Sale,-17.07,
07/05/2025,07/07/2025,IC* INSTACART GROCERIES,Groceries,Sale,-103.40,
07/08/2025,07/10/2025,TRADER JOES #123,Groceries,Sale,-57.95,
07/09/2025,07/11/2025,PHO BAC SUP SHOP,Food & Drink,Sale,-45.24,
07/09/2025,07/11/2025,H&M US ONLINE,Shopping,Sale,-81.13,
07/11/2025,07/12/2025,PANERA BREAD #4567,Food & Drink,Sale,-30.02,
07/11/2025,07/12/2025,IC* INSTACART GROCERIES,Groceries,Sale,-129.08,
07/10/2025,07/13/2025,DOMINOS PIZZA 6789,Food & Drink,Sale,-23.45,
07/10/2025,07/13/2025,MOD PIZZA SEATTLE,Food & Drink,Sale,-42.34,
07/14/2025,07/15/2025,SPOTIFY USA,Bills & Utilities,Sale,-9.33,
07/14/2025,07/15/2025,SEATTLE AQUARIUM,Entertainment,Sale,-29.72,
07/16/2025,07/18/2025,PANERA BREAD #4567,Food & Drink,Sale,-25.19,
07/15/2025,07/18/2025,MOD PIZZA SEATTLE,Food & Drink,Sale,-20.50,
07/17/2025,07/19/2025,CHIPOTLE 2345,Food & Drink,Sale,-17.88,
07/16/2025,07/19/2025,IC* INSTACART GROCERIES,Groceries,Sale,-66.47,
07/17/2025,07/20/2025,MCDONALDS F12345,Food & Drink,Sale,-42.29,
07/18/2025,07/21/2025,THAI BAMBOO REST,Food & Drink,Sale,-25.12,
07/21/2025,07/22/2025,MOD PIZZA SEATTLE,Food & Drink,Sale,-45.17,
07/19/2025,07/22/2025,SEATTLE AQUARIUM,Entertainment,Sale,-15.63,
07/21/2025,07/24/2025,SKECHERS USA 456,Shopping,Sale,-105.83,
07/22/2025,07/24/2025,DISNEY PLUS,Bills & Utilities,Sale,-12.42,
07/22/2025,07/25/2025,COSTCO WHSE #0045,Groceries,Sale,-81.87,
07/23/2025,07/25/2025,NETFLIX.COM,Bills & Utilities,Sale,-5.27,
07/26/2025,07/27/2025,HULU *LIVE TV,Bills & Utilities,Sale,-8.46,
07/27/2025,07/28/2025,MOD PIZZA SEATTLE,Food & Drink,Sale,-45.78,
07/28/2025,07/30/2025,H&M US ONLINE,Shopping,Sale,-114.91,
