Date,Description,Type,Amount,Current balance,Status
2025-06-01,GREENTECH SOLUTIONS DIRECT_DEPOSIT,DIRECT_DEPOSIT,3297.25,10000.00,Posted
2025-06-01,PACIFIC NORTHWEST CONSULTING DIRECT_DEPOSIT,DIRECT_DEPOSIT,1688.55,10000.00,Posted
2025-06-04,CHASE CREDIT CRD AUTOPAY,DIRECT_PAY,-1671.96,10000.00,Posted
2025-06-05,JPMORGAN CHASE,DIRECT_PAY,-2522.50,10000.00,Posted
2025-06-10,JPMORGAN CHASE,DIRECT_PAY,-259.26,10000.00,Posted
2025-06-11,CAPITAL ONE MOBILE PMT,DIRECT_PAY,-1270.48,10000.00,Posted
2025-06-11,VENMO PAYMENT,DIRECT_PAY,-117.28,10000.00,Posted
2025-06-13,Zelle Payment to Alex,ZELLE,-152.80,10000.00,Posted
2025-06-15,GREENTECH SOLUTIONS DIRECT_DEPOSIT,DIRECT_DEPOSIT,2792.30,10000.00,Posted
2025-06-15,PACIFIC NORTHWEST CONSULTING DIRECT_DEPOSIT,DIRECT_DEPOSIT,1781.43,10000.00,Posted
2025-06-16,VENMO PAYMENT,DIRECT_PAY,-208.90,10000.00,Posted
2025-06-20,INTEREST PAYMENT,INTEREST_EARNED,32.10,10000.00,Posted
2025-06-25,DIRECT_PAY UTILITIES,DIRECT_PAY,-263.53,10000.00,Posted
2025-06-27,Zelle Payment to Alex,ZELLE,-207.57,10000.00,Posted
