Transaction Date,Posted Date,Card No.,Description,Category,Debit,Credit
2025-06-09,2025-06-12,1234,SKECHERS USA 456,Merchandise,57.59,
2025-06-15,2025-06-18,1234,ROSS STORES #567,Merchandise,86.67,
2025-06-18,2025-06-19,1234,MCDONALDS F12345,Dining,44.15,
2025-06-20,2025-06-21,1234,HERTZ RENT-A-CAR,Travel,368.50,
2025-06-20,2025-06-22,1234,UNITED AIRLINES 0161234,Travel,98.36,
2025-06-22,2025-06-25,1234,APPLE.COM/BILL,Phone/Cable,14.50,
2025-06-27,2025-06-28,1234,STARBUCKS #12345,Dining,8.50,
2025-06-26,2025-06-28,1234,ROSS STORES #567,Merchandise,57.75,
2025-06-25,2025-06-28,1234,SPOTIFY USA,Phone/Cable,10.68,
2025-06-26,2025-06-29,1234,PANERA BREAD #4567,Dining,23.86,
