Transaction Date,Post Date,Description,Category,Type,Amount,Memo
03/02/2025,03/03/2025,STARBUCKS #12345,Food & Drink,Sale,-15.18,
03/03/2025,03/04/2025,TARGET 00001234,Shopping,Sale,-51.19,
03/02/2025,03/05/2025,COSTCO WHSE #0045,Groceries,Sale,-119.36,
03/05/2025,03/06/2025,PHO BAC SUP SHOP,Food & Drink,Sale,-10.29,
03/06/2025,03/09/2025,THAI BAMBOO REST,Food & Drink,Sale,-20.29,
03/06/2025,03/09/2025,IKEA SEATTLE,Shopping,Sale,-27.14,
03/07/2025,03/10/2025,WA PARKS RESERVATIONS,Entertainment,Sale,-17.29,
03/11/2025,03/12/2025,DISNEY PLUS,Bills & Utilities,Sale,-13.18,
03/10/2025,03/13/2025,QFC #5678,Groceries,Sale,-134.54,
03/12/2025,03/13/2025,ROSS STORES #567,Shopping,Sale,-86.90,
03/13/2025,03/14/2025,PHO BAC SUP SHOP,Food & Drink,Sale,-41.59,
03/12/2025,03/15/2025,COSTCO WHSE #0045,Groceries,Sale,-110.12,
03/13/2025,03/15/2025,OPENAI *CHATGPT PLUS,Bills & Utilities,Sale,-7.04,
03/15/2025,03/18/2025,GOODWILL RETAIL #89,Shopping,Sale,-27.05,
03/18/2025,03/19/2025,WHOLEFDS MKT #10567,Groceries,Sale,-25.64,
03/17/2025,03/20/2025,CHIPOTLE 2345,Food & Drink,Sale,-29.57,
03/19/2025,03/21/2025,CHIPOTLE 2345,Food & Drink,Sale,-37.87,
03/20/2025,03/22/2025,CHIPOTLE 2345,Food & Drink,Sale,-36.65,
03/22/2025,03/25/2025,STARBUCKS #12345,Food & Drink,Sale,-30.80,
03/22/2025,03/25/2025,TARGET 00001234,Shopping,Sale,-76.61,
03/23/2025,03/26/2025,THAI BAMBOO REST,Food & Drink,Sale,-15.26,
03/26/2025,03/28/2025,LINKEDIN PREMIUM,Bills & Utilities,Sale,-7.53,
