Transaction Date,Posted Date,Card No.,Description,Category,Debit,Credit
2025-03-11,2025-03-12,1234,DOMINOS PIZZA 6789,Dining,24.26,
2025-03-10,2025-03-13,1234,PANERA BREAD #4567,Dining,12.42,
2025-03-15,2025-03-16,1234,DOMINOS PIZZA 6789,Dining,46.82,
2025-03-16,2025-03-17,1234,STARBUCKS #12345,Dining,45.02,
2025-03-16,2025-03-17,1234,APPLE.COM/BILL,Phone/Cable,12.61,
2025-03-22,2025-03-25,1234,DOMINOS PIZZA 6789,Dining,38.28,
2025-03-25,2025-03-26,1234,STARBUCKS #12345,Dining,42.56,
2025-03-25,2025-03-26,1234,CHIPOTLE 2345,Dining,31.16,
2025-03-29,2025-03-29,1234,TARGET 00001234,Merchandise,18.51,
2025-03-29,2025-03-31,1234,IKEA SEATTLE,Merchandise,15.43,
