Transaction Date,Post Date,Description,Category,Type,Amount,Memo
03/02/2026,03/02/2026,SPOTIFY USA,Bills & Utilities,Sale,-6.14,
03/02/2026,03/04/2026,PANERA BREAD #4567,Food & Drink,Sale,-29.43,
03/03/2026,03/05/2026,PHO BAC SUP SHOP,Food & Drink,Sale,-19.29,
03/04/2026,03/05/2026,TRADER JOES #123,Groceries,Sale,-18.15,
03/03/2026,03/05/2026,REI #45 SEATTLE,Shopping,Sale,-24.86,
03/05/2026,03/05/2026,NETFLIX.COM,Bills & Utilities,Sale,-8.41,
03/05/2026,03/06/2026,IC* INSTACART GROCERIES,Groceries,Sale,-44.14,
03/06/2026,03/06/2026,UBER *TRIP,Travel,Sale,-232.15,
03/06/2026,03/07/2026,COSTCO WHSE #0045,Groceries,Sale,-142.43,
03/07/2026,03/07/2026,UBER *TRIP,Travel,Sale,-429.78,
03/11/2026,03/13/2026,AMAZON.COM*1A2B3C,Shopping,Sale,-24.08,
03/13/2026,03/13/2026,CLAUDE.AI SUBSCRIPTION,Bills & Utilities,Sale,-13.22,
03/14/2026,03/14/2026,SEATTLE AQUARIUM,Entertainment,Sale,-13.85,
03/14/2026,03/15/2026,MOD PIZZA SEATTLE,Food & Drink,Sale,-21.23,
03/13/2026,03/15/2026,REI #45 SEATTLE,Shopping,Sale,-31.29,
03/16/2026,03/17/2026,MCDONALDS F12345,Food & Drink,Sale,-23.71,
03/15/2026,03/18/2026,PHO BAC SUP SHOP,Food & Drink,Sale,-13.52,
03/19/2026,03/21/2026,STARBUCKS #12345,Food & Drink,Sale,-9.48,
03/20/2026,03/22/2026,H&M US ONLINE,Shopping,Sale,-9.63,
03/20/2026,03/23/2026,STARBUCKS #12345,Food & Drink,Sale,-15.10,
03/22/2026,03/23/2026,SAFEWAY STORE 1234,Groceries,Sale,-38.76,
03/23/2026,03/23/2026,NETFLIX.COM,Bills & Utilities,Sale,-9.66,
03/23/2026,03/24/2026,TRADER JOES #123,Groceries,Sale,-36.71,
03/24/2026,03/24/2026,WOODLAND PARK ZOO,Entertainment,Sale,-14.87,
03/23/2026,03/26/2026,MCDONALDS F12345,Food & Drink,Sale,-34.45,
03/26/2026,03/27/2026,WHOLEFDS MKT #10567,Groceries,Sale,-74.63,
03/26/2026,03/28/2026,STARBUCKS #12345,Food & Drink,Sale,-40.54,
03/28/2026,03/28/2026,STARBUCKS #12345,Food & Drink,Sale,-14.93,
