Date,Description,Type,Amount,Current balance,Status
2025-05-01,GREENTECH SOLUTIONS DIRECT_DEPOSIT,DIRECT_DEPOSIT,2932.89,10000.00,Posted
2025-05-01,PACIFIC NORTHWEST CONSULTING DIRECT_DEPOSIT,DIRECT_DEPOSIT,1345.71,10000.00,Posted
2025-05-03,VENMO PAYMENT,DIRECT_PAY,-33.42,10000.00,Posted
2025-05-05,JPMORGAN CHASE,DIRECT_PAY,-2490.47,10000.00,Posted
2025-05-10,JPMORGAN CHASE,DIRECT_PAY,-281.06,10000.00,Posted
2025-05-12,DIRECT_PAY UTILITIES,DIRECT_PAY,-208.61,10000.00,Posted
2025-05-14,DIRECT_PAY UTILITIES,DIRECT_PAY,-58.50,10000.00,Posted
2025-05-15,GREENTECH SOLUTIONS DIRECT_DEPOSIT,DIRECT_DEPOSIT,3147.51,10000.00,Posted
2025-05-15,PACIFIC NORTHWEST CONSULTING DIRECT_DEPOSIT,DIRECT_DEPOSIT,1618.32,10000.00,Posted
2025-05-19,CAPITAL ONE MOBILE PMT,DIRECT_PAY,-1604.37,10000.00,Posted
2025-05-26,CHASE CREDIT CRD AUTOPAY,DIRECT_PAY,-1008.95,10000.00,Posted
2025-05-27,DIRECT_PAY UTILITIES,DIRECT_PAY,-220.97,10000.00,Posted
2025-05-31,VENMO PAYMENT,DIRECT_PAY,-201.61,10000.00,Posted
