Transaction Date,Post Date,Description,Category,Type,Amount,Memo
05/03/2025,05/06/2025,ROSS STORES #567,Shopping,Sale,-35.03,
05/05/2025,05/06/2025,LINKEDIN PREMIUM,Bills & Utilities,Sale,-11.88,
05/05/2025,05/07/2025,ALDI STORE 09876,Groceries,Sale,-86.70,
05/07/2025,05/08/2025,CHIPOTLE 2345,Food & Drink,Sale,-7.94,
05/07/2025,05/09/2025,PHO BAC SUP SHOP,Food & Drink,Sale,-25.53,
05/06/2025,05/09/2025,QFC #5678,Groceries,Sale,-77.71,
05/07/2025,05/09/2025,LINKEDIN PREMIUM,Bills & Utilities,Sale,-14.03,
05/10/2025,05/12/2025,CHIPOTLE 2345,Food & Drink,Sale,-18.76,
05/10/2025,05/13/2025,PHO BAC SUP SHOP,Food & Drink,Sale,-9.92,
05/11/2025,05/13/2025,OPENAI *CHATGPT PLUS,Bills & Utilities,Sale,-5.62,
05/11/2025,05/14/2025,CLAUDE.AI SUBSCRIPTION,Bills & Utilities,Sale,-9.04,
05/13/2025,05/15/2025,THAI BAMBOO REST,Food & Drink,Sale,-16.25,
05/15/2025,05/18/2025,PANERA BREAD #4567,Food & Drink,Sale,-27.47,
05/16/2025,05/18/2025,ROSS STORES #567,Shopping,Sale,-92.45,
05/17/2025,05/19/2025,THAI BAMBOO REST,Food & Drink,Sale,-19.70,
05/16/2025,05/19/2025,STARBUCKS #12345,Food & Drink,Sale,-25.13,
05/18/2025,05/19/2025,IC* INSTACART GROCERIES,Groceries,Sale,-31.38,
05/17/2025,05/19/2025,IKEA SEATTLE,Shopping,Sale,-39.48,
05/18/2025,05/20/2025,REI #45 SEATTLE,Shopping,Sale,-91.55,
05/18/2025,05/21/2025,SAFEWAY STORE 1234,Groceries,Sale,-143.26,
05/18/2025,05/21/2025,AIRBNB * HM1ABC2DE,Travel,Sale,-265.06,
05/19/2025,05/22/2025,AMC THEATRES #1234,Entertainment,Sale,-42.41,
05/22/2025,05/24/2025,MCDONALDS F12345,Food & Drink,Sale,-31.85,
05/21/2025,05/24/2025,TRADER JOES #123,Groceries,Sale,-135.51,
05/23/2025,05/24/2025,SPOTIFY USA,Bills & Utilities,Sale,-9.03,
05/23/2025,05/25/2025,MCDONALDS F12345,Food & Drink,Sale,-14.06,
05/25/2025,05/28/2025,PELOTON MEMBERSHIP,Health & Wellness,Sale,-32.31,
05/26/2025,05/29/2025,MCDONALDS F12345,Food & Drink,Sale,-33.67,
05/29/2025,05/29/2025,PANERA BREAD #4567,Food & Drink,Sale,-36.17,
05/28/2025,05/29/2025,IC* INSTACART GROCERIES,Groceries,Sale,-72.39,
05/29/2025,05/29/2025,WHOLEFDS MKT #10567,Groceries,Sale,-127.13,
05/27/2025,05/30/2025,ROSS STORES #567,Shopping,Sale,-94.01,
05/28/2025,05/30/2025,UBER *TRIP,Travel,Sale,-373.96,
05/31/2025,05/31/2025,DOMINOS PIZZA 6789,Food & Drink,Sale,-15.43,
05/29/2025,05/31/2025,QFC #5678,Groceries,Sale,-125.03,
05/31/2025,05/31/2025,PELOTON MEMBERSHIP,Health & Wellness,Sale,-40.60,
