Transaction Date,Posted Date,Card No.,Description,Category,Debit,Credit
2025-05-07,2025-05-08,1234,MCDONALDS F12345,Dining,16.02,
2025-05-06,2025-05-08,1234,UNITED AIRLINES 0161234,Travel,303.05,
2025-05-07,2025-05-09,1234,ROSS STORES #567,Merchandise,94.13,
2025-05-06,2025-05-09,1234,TARGET 00001234,Merchandise,95.33,
2025-05-09,2025-05-11,1234,DOMINOS PIZZA 6789,Dining,41.07,
2025-05-12,2025-05-13,1234,STARBUCKS #12345,Dining,38.81,
2025-05-16,2025-05-17,1234,CHIPOTLE 2345,Dining,48.00,
2025-05-16,2025-05-19,1234,STARBUCKS #12345,Dining,29.69,
2025-05-21,2025-05-22,1234,CHIPOTLE 2345,Dining,45.88,
2025-05-30,2025-05-30,1234,APPLE.COM/BILL,Phone/Cable,11.71,
2025-05-31,2025-05-31,1234,SPOTIFY USA,Phone/Cable,14.40,
