Date,Description,Type,Amount,Current balance,Status
2025-11-01,GREENTECH SOLUTIONS DIRECT_DEPOSIT,DIRECT_DEPOSIT,3104.61,10000.00,Posted
2025-11-01,PACIFIC NORTHWEST CONSULTING DIRECT_DEPOSIT,DIRECT_DEPOSIT,1546.58,10000.00,Posted
2025-11-02,Zelle Payment to Alex,ZELLE,-81.51,10000.00,Posted
2025-11-05,JPMORGAN CHASE,DIRECT_PAY,-2588.71,10000.00,Posted
2025-11-10,JPMORGAN CHASE,DIRECT_PAY,-277.18,10000.00,Posted
2025-11-14,Zelle Payment to Sam,ZELLE,-140.80,10000.00,Posted
2025-11-15,GREENTECH SOLUTIONS DIRECT_DEPOSIT,DIRECT_DEPOSIT,3098.55,10000.00,Posted
2025-11-15,PACIFIC NORTHWEST CONSULTING DIRECT_DEPOSIT,DIRECT_DEPOSIT,1632.84,10000.00,Posted
2025-11-15,VENMO PAYMENT,DIRECT_PAY,-143.07,10000.00,Posted
2025-11-19,CHECK_DEPOSIT CONSULTING,CHECK_DEPOSIT,402.31,10000.00,Posted
2025-11-24,Zelle Payment to Alex,ZELLE,-220.56,10000.00,Posted
2025-11-25,DIRECT_PAY UTILITIES,DIRECT_PAY,-265.66,10000.00,Posted
2025-11-27,CHASE CREDIT CRD AUTOPAY,DIRECT_PAY,-1242.17,10000.00,Posted
2025-11-27,CAPITAL ONE MOBILE PMT,DIRECT_PAY,-1512.65,10000.00,Posted
