Transaction Date,Post Date,Description,Category,Type,Amount,Memo
11/01/2025,11/03/2025,ROSS STORES #567,Shopping,Sale,-80.25,
11/03/2025,11/04/2025,PHO BAC SUP SHOP,Food & Drink,Sale,-32.98,
11/05/2025,11/06/2025,ALDI STORE 09876,Groceries,Sale,-99.30,
11/05/2025,11/07/2025,CHIPOTLE 2345,Food & Drink,Sale,-40.92,
11/05/2025,11/07/2025,DROPBOX*PLAN,Bills & Utilities,Sale,-12.29,
11/08/2025,11/09/2025,YMCA OF GREATER SEATTLE,Health & Wellness,Sale,-19.52,
11/08/2025,11/10/2025,AMC THEATRES #1234,Entertainment,Sale,-19.43,
11/10/2025,11/12/2025,IKEA SEATTLE,Shopping,Sale,-98.32,
11/10/2025,11/13/2025,QFC #5678,Groceries,Sale,-27.61,
11/11/2025,11/14/2025,PANERA BREAD #4567,Food & Drink,Sale,-20.53,
11/12/2025,11/15/2025,WOODLAND PARK ZOO,Entertainment,Sale,-13.14,
11/13/2025,11/16/2025,PELOTON MEMBERSHIP,Health & Wellness,Sale,-25.45,
11/15/2025,11/17/2025,PHO BAC SUP SHOP,Food & Drink,Sale,-11.39,
11/17/2025,11/18/2025,DOMINOS PIZZA 6789,Food & Drink,Sale,-12.92,
11/16/2025,11/18/2025,DISNEY PLUS,Bills & Utilities,Sale,-8.27,
11/17/2025,11/19/2025,THAI BAMBOO REST,Food & Drink,Sale,-40.58,
11/17/2025,11/19/2025,STARBUCKS #12345,Food & Drink,Sale,-16.53,
11/16/2025,11/19/2025,HERTZ RENT-A-CAR,Travel,Sale,-269.48,
11/19/2025,11/20/2025,AMAZON.COM*1A2B3C,Shopping,Sale,-18.02,
11/21/2025,11/22/2025,QFC #5678,Groceries,Sale,-142.12,
11/21/2025,11/24/2025,DOMINOS PIZZA 6789,Food & Drink,Sale,-11.26,
11/21/2025,11/24/2025,ROSS STORES #567,Shopping,Sale,-81.28,
11/22/2025,11/24/2025,HULU *LIVE TV,Bills & Utilities,Sale,-9.43,
11/23/2025,11/24/2025,APPLE.COM/BILL,Bills & Utilities,Sale,-9.28,
11/24/2025,11/26/2025,AIRBNB * HM1ABC2DE,Travel,Sale,-380.51,
11/25/2025,11/28/2025,H&M US ONLINE,Shopping,Sale,-77.61,
11/29/2025,11/29/2025,SAFEWAY STORE 1234,Groceries,Sale,-128.74,
11/28/2025,11/29/2025,MARRIOTT HOTEL SEA,Travel,Sale,-452.18,
11/27/2025,11/30/2025,MCDONALDS F12345,Food & Drink,Sale,-38.25,
11/28/2025,11/30/2025,MUSEUM OF POP CULTURE,Entertainment,Sale,-14.10,
