Transaction Date,Posted Date,Card No.,Description,Category,Debit,Credit
2025-11-02,2025-11-03,1234,MCDONALDS F12345,Dining,35.97,
2025-11-03,2025-11-05,1234,MOD PIZZA SEATTLE,Dining,38.10,
2025-11-04,2025-11-06,1234,PHO BAC SUP SHOP,Dining,39.39,
2025-11-07,2025-11-10,1234,THAI BAMBOO REST,Dining,27.00,
2025-11-09,2025-11-12,1234,STARBUCKS #12345,Dining,11.40,
2025-11-11,2025-11-14,1234,PHO BAC SUP SHOP,Dining,37.71,
2025-11-17,2025-11-20,1234,APPLE.COM/BILL,Phone/Cable,9.80,
2025-11-20,2025-11-22,1234,AIRBNB * HM1ABC2DE,Travel,225.04,
2025-11-20,2025-11-23,1234,SPOTIFY USA,Phone/Cable,10.86,
2025-11-26,2025-11-28,1234,MOD PIZZA SEATTLE,Dining,12.26,
2025-11-29,2025-11-29,1234,REI #45 SEATTLE,Merchandise,45.40,
