Date,Description,Type,Amount,Current balance,Status
2025-10-01,GREENTECH SOLUTIONS DIRECT_DEPOSIT,DIRECT_DEPOSIT,2423.32,10000.00,Posted
2025-10-01,PACIFIC NORTHWEST CONSULTING DIRECT_DEPOSIT,DIRECT_DEPOSIT,1510.65,10000.00,Posted
2025-10-05,JPMORGAN CHASE,DIRECT_PAY,-2435.33,10000.00,Posted
2025-10-05,Zelle Payment to Alex,ZELLE,-152.05,10000.00,Posted
2025-10-10,JPMORGAN CHASE,DIRECT_PAY,-286.50,10000.00,Posted
2025-10-15,GREENTECH SOLUTIONS DIRECT_DEPOSIT,DIRECT_DEPOSIT,2567.44,10000.00,Posted
2025-10-15,PACIFIC NORTHWEST CONSULTING DIRECT_DEPOSIT,DIRECT_DEPOSIT,1748.13,10000.00,Posted
2025-10-20,CAPITAL ONE MOBILE PMT,DIRECT_PAY,-1157.02,10000.00,Posted
2025-10-23,CHASE CREDIT CRD AUTOPAY,DIRECT_PAY,-1301.65,10000.00,Posted
2025-10-23,Zelle Payment to Alex,ZELLE,-178.50,10000.00,Posted
2025-10-26,VENMO PAYMENT,DIRECT_PAY,-210.32,10000.00,Posted
2025-10-29,DIRECT_PAY UTILITIES,DIRECT_PAY,-299.26,10000.00,Posted
2025-10-30,DIRECT_PAY UTILITIES,DIRECT_PAY,-84.05,10000.00,Posted
