Transaction Date,Post Date,Description,Category,Type,Amount,Memo
10/01/2025,10/03/2025,STARBUCKS #12345,Food & Drink,Sale,-41.25,
10/01/2025,10/03/2025,PANERA BREAD #4567,Food & Drink,Sale,-41.07,
10/03/2025,10/05/2025,IKEA SEATTLE,Shopping,Sale,-90.36,
10/03/2025,10/06/2025,MUSEUM OF POP CULTURE,Entertainment,Sale,-10.44,
10/05/2025,10/07/2025,WHOLEFDS MKT #10567,Groceries,Sale,-15.21,
10/07/2025,10/08/2025,YMCA OF GREATER SEATTLE,Health & Wellness,Sale,-44.57,
10/06/2025,10/09/2025,CLAUDE.AI SUBSCRIPTION,Bills & Utilities,Sale,-14.80,
10/08/2025,10/10/2025,STARBUCKS #12345,Food & Drink,Sale,-21.75,
10/08/2025,10/10/2025,MOD PIZZA SEATTLE,Food & Drink,Sale,-8.64,
10/10/2025,10/11/2025,DOMINOS PIZZA 6789,Food & Drink,Sale,-11.12,
10/10/2025,10/12/2025,MCDONALDS F12345,Food & Drink,Sale,-37.87,
10/12/2025,10/13/2025,QFC #5678,Groceries,Sale,-71.24,
10/12/2025,10/13/2025,QFC #5678,Groceries,Sale,-88.45,
10/12/2025,10/14/2025,AMAZON.COM*1A2B3C,Shopping,Sale,-48.64,
10/14/2025,10/15/2025,THAI BAMBOO REST,Food & Drink,Sale,-27.08,
10/12/2025,10/15/2025,DROPBOX*PLAN,Bills & Utilities,Sale,-13.10,
10/16/2025,10/18/2025,CHIPOTLE 2345,Food & Drink,Sale,-44.05,
10/16/2025,10/19/2025,SEATTLE AQUARIUM,Entertainment,Sale,-40.65,
10/18/2025,10/21/2025,THAI BAMBOO REST,Food & Drink,Sale,-10.67,
10/21/2025,10/22/2025,DROPBOX*PLAN,Bills & Utilities,Sale,-6.16,
10/21/2025,10/23/2025,MCDONALDS F12345,Food & Drink,Sale,-11.78,
10/21/2025,10/24/2025,QFC #5678,Groceries,Sale,-47.66,
10/22/2025,10/25/2025,TRADER JOES #123,Groceries,Sale,-85.67,
10/27/2025,10/29/2025,QFC #5678,Groceries,Sale,-87.37,
10/26/2025,10/29/2025,QFC #5678,Groceries,Sale,-17.75,
10/28/2025,10/30/2025,AMAZON.COM*1A2B3C,Shopping,Sale,-79.56,
