Transaction Date,Posted Date,Card No.,Description,Category,Debit,Credit
2025-10-03,2025-10-04,1234,APPLE.COM/BILL,Phone/Cable,8.54,
2025-10-03,2025-10-05,1234,MCDONALDS F12345,Dining,28.91,
2025-10-02,2025-10-05,1234,PHO BAC SUP SHOP,Dining,31.82,
2025-10-05,2025-10-08,1234,SKECHERS USA 456,Merchandise,12.86,
2025-10-11,2025-10-12,1234,STARBUCKS #12345,Dining,19.77,
2025-10-10,2025-10-12,1234,MOD PIZZA SEATTLE,Dining,31.31,
2025-10-14,2025-10-15,1234,MOD PIZZA SEATTLE,Dining,20.76,
2025-10-14,2025-10-16,1234,CHIPOTLE 2345,Dining,9.15,
2025-10-13,2025-10-16,1234,NETFLIX.COM,Phone/Cable,10.97,
2025-10-21,2025-10-23,1234,PHO BAC SUP SHOP,Dining,27.55,
2025-10-24,2025-10-27,1234,REI #45 SEATTLE,Merchandise,114.76,
