Date,Description,Type,Amount,Current balance,Status
2025-09-01,GREENTECH SOLUTIONS DIRECT_DEPOSIT,DIRECT_DEPOSIT,3148.21,10000.00,Posted
2025-09-01,PACIFIC NORTHWEST CONSULTING DIRECT_DEPOSIT,DIRECT_DEPOSIT,1685.43,10000.00,Posted
2025-09-05,JPMORGAN CHASE,DIRECT_PAY,-2523.26,10000.00,Posted
2025-09-07,VENMO PAYMENT,DIRECT_PAY,-213.14,10000.00,Posted
2025-09-08,CHASE CREDIT CRD AUTOPAY,DIRECT_PAY,-1772.63,10000.00,Posted
2025-09-08,VENMO PAYMENT,DIRECT_PAY,-290.71,10000.00,Posted
2025-09-10,JPMORGAN CHASE,DIRECT_PAY,-280.58,10000.00,Posted
2025-09-15,GREENTECH SOLUTIONS DIRECT_DEPOSIT,DIRECT_DEPOSIT,3093.99,10000.00,Posted
2025-09-15,PACIFIC NORTHWEST CONSULTING DIRECT_DEPOSIT,DIRECT_DEPOSIT,1299.32,10000.00,Posted
2025-09-19,DIRECT_PAY UTILITIES,DIRECT_PAY,-154.65,10000.00,Posted
2025-09-20,INTEREST PAYMENT,INTEREST_EARNED,31.13,10000.00,Posted
2025-09-20,CAPITAL ONE MOBILE PMT,DIRECT_PAY,-1156.44,10000.00,Posted
2025-09-24,DIRECT_PAY UTILITIES,DIRECT_PAY,-93.18,10000.00,Posted
2025-09-26,DIRECT_PAY UTILITIES,DIRECT_PAY,-274.07,10000.00,Posted
