Transaction Date,Post Date,Description,Category,Type,Amount,Memo
09/02/2025,09/04/2025,HULU *LIVE TV,Bills & Utilities,Sale,-5.58,
09/03/2025,09/05/2025,SKECHERS USA 456,Shopping,Sale,-79.08,
09/03/2025,09/05/2025,CLAUDE.AI SUBSCRIPTION,Bills & Utilities,Sale,-9.41,
09/03/2025,09/06/2025,AIRBNB * HM1ABC2DE,Travel,Sale,-76.44,
09/04/2025,09/07/2025,PANERA BREAD #4567,Food & Drink,Sale,-44.05,
09/09/2025,09/10/2025,COSTCO WHSE #0045,Groceries,Sale,-96.32,
09/10/2025,09/13/2025,PHO BAC SUP SHOP,Food & Drink,Sale,-15.31,
09/13/2025,09/14/2025,PHO BAC SUP SHOP,Food & Drink,Sale,-13.22,
09/12/2025,09/14/2025,ALDI STORE 09876,Groceries,Sale,-144.36,
09/13/2025,09/16/2025,STARBUCKS #12345,Food & Drink,Sale,-22.62,
09/15/2025,09/16/2025,MARRIOTT HOTEL SEA,Travel,Sale,-472.60,
09/16/2025,09/19/2025,YMCA OF GREATER SEATTLE,Health & Wellness,Sale,-46.73,
09/19/2025,09/21/2025,THAI BAMBOO REST,Food & Drink,Sale,-18.16,
09/20/2025,09/22/2025,PHO BAC SUP SHOP,Food & Drink,Sale,-9.70,
09/21/2025,09/22/2025,COSTCO WHSE #0045,Groceries,Sale,-28.88,
09/19/2025,09/22/2025,WHOLEFDS MKT #10567,Groceries,Sale,-106.95,
09/20/2025,09/22/2025,GOODWILL RETAIL #89,Shopping,Sale,-25.76,
09/19/2025,09/22/2025,NETFLIX.COM,Bills & Utilities,Sale,-9.39,
09/23/2025,09/25/2025,HERTZ RENT-A-CAR,Travel,Sale,-280.11,
09/25/2025,09/26/2025,STARBUCKS #12345,Food & Drink,Sale,-27.44,
09/25/2025,09/28/2025,TRADER JOES #123,Groceries,Sale,-38.91,
09/25/2025,09/28/2025,WHOLEFDS MKT #10567,Groceries,Sale,-77.63,
09/26/2025,09/28/2025,AMAZON.COM*1A2B3C,Shopping,Sale,-48.07,
09/28/2025,09/29/2025,PANERA BREAD #4567,Food & Drink,Sale,-24.30,
09/29/2025,09/29/2025,ALDI STORE 09876,Groceries,Sale,-100.77,
09/28/2025,09/29/2025,OPENAI *CHATGPT PLUS,Bills & Utilities,Sale,-8.72,
09/26/2025,09/29/2025,SEATTLE AQUARIUM,Entertainment,Sale,-21.54,
