Account Number,Account Name,Account Type Desc,Asset Class,Asset Strategy,Asset Strategy Detail,Description,Ticker,CUSIP,Quantity,Price,Value,Cost,Unrealized Gain/Loss ($),Unrealized Gain/Loss (%),Pricing Date,As of,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Col60,Col61,Col62,Col63,Col64,Col65,Col66,Col67,Col68,Col69,Col70,Col71,Col72,Col73,Col74,Col75,Col76,Col77,Col78,Col79,Col80,Col81
XXXX1234,JOINT BROKERAGE,BROKERAGE,US Equity,Large Cap,Large Cap,Vanguard S&P 500 ETF,VOO,000000000,51.000,$520.45,"$26,542.95","$24,784.12","$1,758.83",7.10,03/09/2026,03/09/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XXXX1234,JOINT BROKERAGE,BROKERAGE,US Equity,Broad Market,Broad Market,Vanguard Total Stock Market ETF,VTI,000000000,36.000,$280.30,"$10,090.80","$8,759.15","$1,331.65",15.20,03/09/2026,03/09/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XXXX1234,JOINT BROKERAGE,BROKERAGE,International Equity,Broad Market,Broad Market,Vanguard Total Intl Stock ETF,VXUS,000000000,120.000,$62.15,"$7,458.00","$6,596.02",$861.98,13.07,03/09/2026,03/09/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XXXX1234,JOINT BROKERAGE,BROKERAGE,Fixed Income,Broad Market,Broad Market,Vanguard Total Bond Market ETF,BND,000000000,90.000,$74.50,"$6,705.00","$5,448.73","$1,256.27",23.06,03/09/2026,03/09/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XXXX1234,JOINT BROKERAGE,BROKERAGE,Real Estate,Broad Market,Broad Market,Vanguard Real Estate ETF,VNQ,000000000,24.000,$88.20,"$2,116.80","$1,688.60",$428.20,25.36,03/09/2026,03/09/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XXXX1234,JOINT BROKERAGE,BROKERAGE,US Equity,Large Cap,Large Cap,Apple Inc,AAPL,000000000,18.000,$225.50,"$4,059.00","$3,139.19",$919.81,29.30,03/09/2026,03/09/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XXXX1234,JOINT BROKERAGE,BROKERAGE,US Equity,Large Cap,Large Cap,Microsoft Corp,MSFT,000000000,12.000,$420.80,"$5,049.60","$4,164.21",$885.39,21.26,03/09/2026,03/09/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XXXX1234,JOINT BROKERAGE,BROKERAGE,US Equity,Large Cap,Large Cap,Alphabet Inc,GOOGL,000000000,15.000,$175.60,"$2,634.00","$2,049.97",$584.03,28.49,03/09/2026,03/09/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XXXX1234,JOINT BROKERAGE,BROKERAGE,US Equity,Large Cap,Large Cap,Amazon.com Inc,AMZN,000000000,9.000,$185.40,"$1,668.60","$1,381.09",$287.51,20.82,03/09/2026,03/09/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XXXX1234,JOINT BROKERAGE,BROKERAGE,US Equity,Large Cap,Large Cap,NVIDIA Corp,NVDA,000000000,24.000,$135.20,"$3,244.80","$2,820.66",$424.14,15.04,03/09/2026,03/09/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XXXX1234,JOINT BROKERAGE,BROKERAGE,Cash,Short Term,Short Term,JPMorgan Liquid Assets MM,MJLXX,000000000,3000.000,$1.00,"$3,000.00","$2,594.88",$405.12,15.61,03/09/2026,03/09/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FOOTNOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
