Date,Description,Type,Amount,Current balance,Status
2026-03-01,GREENTECH SOLUTIONS DIRECT_DEPOSIT,DIRECT_DEPOSIT,2768.40,10000.00,Posted
2026-03-01,PACIFIC NORTHWEST CONSULTING DIRECT_DEPOSIT,DIRECT_DEPOSIT,1594.93,10000.00,Posted
2026-03-05,JPMORGAN CHASE,DIRECT_PAY,-2581.28,10000.00,Posted
2026-03-07,CAPITAL ONE MOBILE PMT,DIRECT_PAY,-1241.84,10000.00,Posted
2026-03-07,Zelle Payment to Alex,ZELLE,-123.25,10000.00,Posted
2026-03-07,Zelle Payment to Sam,ZELLE,-270.66,10000.00,Posted
2026-03-10,JPMORGAN CHASE,DIRECT_PAY,-299.24,10000.00,Posted
2026-03-10,DIRECT_PAY UTILITIES,DIRECT_PAY,-290.45,10000.00,Posted
2026-03-15,GREENTECH SOLUTIONS DIRECT_DEPOSIT,DIRECT_DEPOSIT,2949.90,10000.00,Posted
2026-03-15,PACIFIC NORTHWEST CONSULTING DIRECT_DEPOSIT,DIRECT_DEPOSIT,1369.37,10000.00,Posted
2026-03-20,INTEREST PAYMENT,INTEREST_EARNED,38.35,10000.00,Posted
2026-03-22,CHASE CREDIT CRD AUTOPAY,DIRECT_PAY,-1543.34,10000.00,Posted
2026-03-22,VENMO PAYMENT,DIRECT_PAY,-125.93,10000.00,Posted
2026-03-22,VENMO PAYMENT,DIRECT_PAY,-76.35,10000.00,Posted
